LAKE_ID,Summarized Area in SQUAREFEET,sqmiles,Count of Points,Septic Density 
0701UWB5020,43027075590,1543.381201,46877,30.37292404
0701CRO0185,33525016049,1202.542326,36101,30.02056496
1201UWB5008,19687286511,706.1829671,18312,25.93095678
0705CAY0296,8430612549,302.4060721,12614,41.71212539
0703ONE0026,6976550614,250.2488705,7326,29.2748574
1302MUS0044A,3044563942,109.2085086,7111,65.1139741
0705SEN0369,3643947472,130.7083958,6005,45.94196082
1306STU0453A,3627483563,130.1178354,5701,43.81413188
1104STE0126A,5097825183,182.8589893,3744,20.47479325
1104GRE0127,5047694778,181.0608117,3709,20.48483029
1104GRE0127,4855159632,174.154576,3366,19.32765752
1304UWB5605,1121371809,40.22360679,3197,79.48068946
1305WAP0365,1410427329,50.59202829,3081,60.8989223
1006LOR5251,1069001269,38.34507552,2999,78.21082523
1006GEO0367,1062802385,38.12272155,2996,78.5883032
0601GOO0360,1906924322,68.40137543,2519,36.82674484
0705UWB0387,965678665.2,34.63889372,2403,69.37288527
0705KEU0388,950205296.4,34.08386398,2389,70.09181827
1202BLE0630A,2340749379,83.96268022,2316,27.58368353
0601GOO0360,1858502708,66.66449214,2208,33.12108034
1202SCH0638A,2119734025,76.03485948,2155,28.3422632
0906BLA0001,3048419348,109.346802,1974,18.05265416
1101SAR0027,1317346217,47.2532088,1901,40.23007216
1403PEP0358A,2135473572,76.59943703,1726,22.53280268
1404CAN0402A,2538005977,91.03827439,1726,18.95905883
0704CAN0286,1026576896,36.82331326,1656,44.97150999
0702ONO0154,1214630829,43.56880784,1651,37.89408253
0706OWA0212,1132156868,40.61046686,1437,35.38496627
1302DIV0083,670433556.1,24.04845166,1405,58.42371975
0202CHA0122,850688295.7,30.51418917,1341,43.94676826
1401MON0096A,951737737.6,34.13883265,1279,37.46466709
0801NEL0718,807835445.1,28.97705742,1273,43.93130682
0302UWB0118A,869478341.6,31.18818811,1264,40.52816391
0903SOU0017A,4714481381,169.1084471,1258,7.439013375
0103UWB0065,770847482.6,27.6502992,1251,45.24363338
1311WAT0270,779293123.2,27.95324433,1242,44.43133632
0903RAI0022A,4616373668,165.5893235,1237,7.470288386
0903FIV0021A,4645693970,166.6410427,1237,7.423141262
0801UWB0727,723288243.3,25.94434929,1167,44.98089303
1104SCH0374,2101567458,75.38322472,1152,15.28191457
1302AMA0050,143151757.7,5.134853549,1138,221.6226791
1302EAS0089,577789654,20.72531489,1137,54.86044512
1401SWI0108A,707912919.3,25.39283642,1127,44.382596
0903CAR0035C,4390211125,157.4768731,1113,7.067704473
0707SKA0193,319939863.6,11.47624291,1075,93.67177121
0903PIE0085,3711010648,133.1139519,1074,8.068275221
0905LOW0061,3873287902,138.934837,1046,7.528709302
